,股票代码,公司名称,营业收入,净利润,净资产收益率(%)
176,002399,海普瑞,22.61亿,3.97亿,4.84
177,600478,科力远,17.00亿,-2.12亿,-15.19
178,600217,中再资环,14.61亿,1.40亿,14.57
179,603032,德新交运,2.56亿,5076万,21.53
180,300750,宁德时代,149亿,28.52亿,69.55
181,603666,亿嘉和,2.62亿,5486万,38.23
182,601330,绿色动力,6.64亿,2.31亿,11.60
183,300385,雪浪环境,6.96亿,8871万,12.05
184,300242,佳云科技,28.24亿,1.82亿,8.91
185,002581,未名医药,12.65亿,4.18亿,18.21
186,002680,长生生物,10.18亿,4.25亿,12.15
187,300132,青松股份,5.57亿,3273万,5.30
188,000049,德赛电池,87.24亿,2.55亿,24.60
189,300317,珈伟股份,27.94亿,3.14亿,8.98
190,002321,华英农业,25.15亿,9147万,3.99
191,000056,皇庭国际,3.26亿,1.12亿,2.20
192,600393,粤泰股份,9.54亿,1.45亿,3.32
193,300248,新开普,6.83亿,8485万,9.75
194,300042,朗科科技,5.91亿,4444万,5.17
195,600868,梅雁吉祥,3.63亿,6821万,3.15
196,600186,莲花健康,17.67亿,6525万,57.00
197,600165,新日恒力,27.85亿,-1.92亿,-21.89
198,002086,东方海洋,7.07亿,7662万,2.71
199,300297,蓝盾股份,15.74亿,3.23亿,12.41
200,600645,中源协和,8.38亿,3786万,2.41
201,002374,丽鹏股份,17.49亿,1.56亿,6.51
202,600866,星湖科技,6.80亿,2431万,2.29
203,300156,神雾环保,31.25亿,7.06亿,34.07
204,600098,广州发展,220亿,6.69亿,4.51
205,002427,*ST尤夫,24.60亿,1.69亿,7.80
206,002447,晨鑫科技,7.82亿,2.96亿,11.78
207,002162,悦心健康,7.78亿,1703万,2.06
208,603045,福达合金,10.37亿,4627万,10.46
209,002333,罗普斯金,9.77亿,1.41亿,9.32
210,300526,中潜股份,3.71亿,3567万,9.77
211,300152,科融环境,7.65亿,-1.32亿,-9.32
212,601138,工业富联,2727亿,144亿,20.93
213,600117,西宁特钢,73.90亿,6941万,5.55
214,600988,赤峰黄金,21.12亿,3.21亿,13.94
215,300350,华鹏飞,6.96亿,1.32亿,7.37
216,300129,泰胜风能,15.06亿,2.19亿,10.67
217,300090,盛运环保,15.72亿,1.19亿,2.28
218,002251,步步高,155亿,1.33亿,2.64
219,002127,南极电商,5.21亿,3.01亿,21.76
220,600321,*ST正源,5.63亿,-925万,-0.35
221,300580,贝斯特,5.47亿,1.17亿,18.06
222,002895,川恒股份,10.85亿,1.22亿,8.20
223,300648,星云股份,2.27亿,5077万,25.66
224,300625,三雄极光,18.97亿,2.47亿,36.64
225,002385,大北农,168亿,8.83亿,9.88
226,300031,宝通科技,14.65亿,1.41亿,7.04
227,002547,春兴精工,25.36亿,1.63亿,8.42
228,002278,神开股份,4.16亿,-1.09亿,-9.75
229,000590,启迪古汉,3.17亿,5518万,23.64
230,600506,香梨股份,6803万,-585万,-2.13
231,002825,纳尔股份,5.49亿,6492万,19.09
232,603313,梦百合,17.23亿,2.00亿,21.60
233,300198,纳川股份,11.17亿,6387万,4.28
234,002070,*ST众和,8.86亿,-1.99亿,-33.03
235,600863,内蒙华电,97.62亿,3.84亿,3.92
236,300647,超频三,3.44亿,5281万,21.82
237,002923,润都股份,6.52亿,8747万,24.68
238,002713,东易日盛,29.99亿,1.73亿,17.46
239,002632,道明光学,5.22亿,4871万,3.46
240,300234,开尔新材,3.62亿,2846万,3.19
241,000651,格力电器,1101亿,155亿,30.44
