,code,name,income_2015,profit_2015,roe_2015(%),income_2016,profit_2016,roe_2016(%),income_2017,profit_2017,roe_2017(%)
126,002908,德生科技,4.35亿,9116万,32.81,3.43亿,4873万,14.16,4.27亿,5752万,13.8
127,603466,风语筑,10.19亿,6575万,19.42,12.27亿,1.13亿,21.76,14.99亿,1.66亿,22.2
128,002905,金逸影视,23.25亿,2.46亿,45.16,21.56亿,1.95亿,25.51,21.91亿,2.12亿,19.15
129,002906,华阳集团,41.45亿,1.81亿,8.49,42.47亿,2.95亿,13.05,41.66亿,2.80亿,10.76
130,603378,亚士创能,8.93亿,1.17亿,28.21,10.73亿,1.22亿,22.98,13.55亿,1.14亿,14.13
131,300725,药石科技,1.36亿,1993万,17.85,1.88亿,3612万,21.18,2.73亿,6718万,22.84
132,600933,爱柯迪,14.66亿,3.47亿,31.08,18.12亿,4.83亿,29.96,21.75亿,4.66亿,22.06
133,002903,宇环数控,1.10亿,2255万,10.6,2.60亿,8037万,31.48,2.50亿,7898万,22.22
134,002919,名臣健康,5.88亿,4351万,21.52,5.96亿,4741万,18.04,6.42亿,4851万,16.09
135,603076,乐惠国际,7.24亿,6440万,37.93,9.51亿,7668万,22.77,8.32亿,6719万,15.43
136,603499,翔港科技,2.74亿,4269万,21.01,2.85亿,4527万,19.22,3.39亿,4583万,14.56
137,603110,东方材料,3.76亿,6361万,25.78,3.87亿,6105万,21.01,3.95亿,5503万,15.05
138,603367,辰欣药业,24.97亿,2.47亿,12.4,25.65亿,2.47亿,11.28,29.63亿,3.67亿,13.32
139,603103,横店影视,21.13亿,3.44亿,70.9,22.81亿,3.56亿,43.78,25.18亿,3.31亿,26.18
140,603136,天目湖,4.23亿,5403万,22.21,4.22亿,6929万,24.57,4.61亿,8447万,19.02
141,002902,铭普光磁,13.29亿,8093万,19.56,14.07亿,9065万,18.34,15.10亿,8036万,11.77
142,300705,九典制药,2.90亿,4464万,19.23,3.76亿,5453万,17.93,5.35亿,6857万,16.14
143,300722,新余国科,1.63亿,2731万,21.47,1.82亿,3423万,17.52,2.00亿,4474万,19.46
144,603278,大业股份,11.35亿,7255万,17.89,14.01亿,1.43亿,27.86,18.85亿,1.31亿,19.02
145,300716,国立科技,5.23亿,4651万,16.67,6.31亿,5977万,14.89,7.58亿,6158万,12.24
146,603605,珀莱雅,16.45亿,1.44亿,43.08,16.23亿,1.54亿,31.76,17.83亿,2.01亿,27.93
147,603809,豪能股份,6.01亿,1.07亿,17.71,6.44亿,1.26亿,17.58,8.42亿,1.50亿,16.6
148,603970,中农立华,32.34亿,8827万,32.52,33.98亿,8172万,25.48,35.03亿,9033万,22.63
149,601086,国芳集团,29.29亿,1.04亿,11.4,28.40亿,9183万,8.1,29.02亿,1.21亿,9.17
150,300703,创源文化,5.12亿,3632万,31.64,6.54亿,7558万,48.8,6.77亿,6053万,21.06
151,300654,世纪天鸿,3.85亿,3394万,17.05,3.80亿,3132万,13.48,3.81亿,3136万,10.44
152,603363,傲农生物,40.13亿,3378万,13.24,49.78亿,9138万,21.39,49.03亿,1.08亿,18.52
153,002901,大博医疗,3.92亿,1.89亿,54.42,4.63亿,2.19亿,41.87,5.94亿,2.96亿,37.76
154,603157,拉夏贝尔,74.39亿,6.15亿,19.56,85.51亿,5.32亿,15.46,89.99亿,4.99亿,13.59
155,300710,万隆光电,3.07亿,3902万,15.2,3.92亿,4500万,16.5,4.18亿,4678万,13.08
156,603912,佳力图,3.75亿,5103万,23.59,4.20亿,5845万,24.2,4.60亿,8226万,23.36
157,002899,英派斯,7.31亿,7618万,23.78,7.79亿,8519万,21.42,8.57亿,8317万,14.3
158,603922,金鸿顺,8.54亿,8141万,22.56,9.01亿,1.06亿,23.44,10.42亿,9058万,14.19
159,603963,大理药业,2.67亿,6229万,18.72,2.76亿,6217万,28.38,2.73亿,4445万,16.34
160,002900,哈三联,7.22亿,1.66亿,24.44,7.61亿,1.75亿,22.69,11.49亿,1.81亿,16.78
161,603106,恒银金融,9.12亿,1.41亿,28.14,11.69亿,1.44亿,21.78,14.84亿,1.49亿,15.19
162,300701,森霸传感,1.32亿,3611万,26.08,1.55亿,4684万,30.46,1.77亿,6005万,25.3
163,300702,天宇股份,8.40亿,5035万,10.6,10.82亿,1.22亿,22.25,11.88亿,1.00亿,12.64
164,603533,掌阅科技,6.40亿,2957万,19.21,11.98亿,7721万,11.16,16.67亿,1.24亿,14.98
165,300707,威唐工业,2.36亿,3636万,27.19,3.17亿,5444万,24.86,4.37亿,8459万,24.1
166,603321,梅轮电梯,8.62亿,1.12亿,34.93,7.81亿,9062万,20.38,7.32亿,7664万,11.86
167,603083,剑桥科技,26.44亿,1.23亿,27.88,19.98亿,6632万,11.13,24.87亿,6060万,8.28
168,603289,泰瑞机器,4.05亿,5349万,14.4,5.12亿,7364万,17.28,7.03亿,8351万,15.11
169,603648,畅联股份,12.02亿,1.19亿,20.0,11.68亿,1.30亿,16.27,11.51亿,1.39亿,13.61
170,603527,众源新材,22.02亿,6144万,22.21,21.54亿,7449万,21.61,29.84亿,8559万,16.21
171,603386,广东骏亚,5.84亿,6215万,35.82,8.00亿,6044万,25.45,9.88亿,6562万,17.67
172,300700,岱勒新材,1.32亿,3056万,16.9,1.85亿,3930万,18.22,4.35亿,1.11亿,32.98
173,002912,中新赛克,2.92亿,8824万,20.33,3.43亿,1.01亿,18.41,4.98亿,1.32亿,20.09
174,603277,银都股份,9.41亿,1.68亿,40.64,11.48亿,2.42亿,46.45,13.60亿,1.98亿,27.15
175,002897,意华股份,9.15亿,8474万,19.63,9.91亿,9910万,20.22,12.15亿,9398万,13.68
176,002898,赛隆药业,2.37亿,6332万,36.79,2.56亿,6125万,25.65,3.64亿,6451万,17.84
177,603882,金域医学,23.89亿,1.31亿,23.28,32.22亿,1.70亿,16.75,37.92亿,1.89亿,14.52
178,300697,电工合金,11.82亿,5335万,20.13,10.59亿,5485万,16.49,13.14亿,6123万,12.06
179,002896,中大力德,3.00亿,3052万,12.43,3.70亿,4676万,18.73,4.98亿,5984万,16.21
180,603725,天安新材,6.67亿,5283万,16.33,8.60亿,7188万,19.0,9.65亿,5531万,10.22
181,603183,建研院,3.92亿,4161万,18.12,3.92亿,5497万,18.17,4.44亿,6598万,15.68
182,603500,祥和实业,3.15亿,8928万,40.95,2.62亿,7412万,22.79,3.00亿,7792万,16.43
183,300699,光威复材,5.43亿,1.76亿,15.68,6.33亿,1.99亿,15.19,9.49亿,2.37亿,12.85
184,603127,昭衍新药,2.07亿,4917万,26.82,2.42亿,5169万,22.1,3.01亿,7645万,20.57
185,300698,万马科技,3.80亿,3377万,28.41,3.71亿,3692万,22.34,3.41亿,2734万,10.78
186,300696,爱乐达,1.05亿,5039万,26.93,1.19亿,6818万,26.5,1.36亿,7364万,17.09
187,603079,圣达生物,5.36亿,8670万,23.55,4.82亿,6094万,12.98,5.09亿,7261万,12.93
188,603813,原尚股份,2.93亿,3243万,14.6,3.38亿,4095万,13.56,3.93亿,5189万,13.09
189,300706,阿石创,1.24亿,2634万,24.85,1.75亿,3603万,19.5,2.36亿,4093万,15.48
190,002893,华通热力,8.56亿,4958万,18.93,8.63亿,4948万,15.78,9.15亿,5221万,11.0
191,300695,兆丰股份,3.35亿,1.13亿,28.06,5.11亿,1.99亿,46.35,6.08亿,2.05亿,25.39
